Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
State,42,Pennsylvania,"Acetic Acid-Aluminum","Acetic Acid/Aluminum Acetate",27,40,49.6,2177.25,37,#,"","","",#,"",6.9,512.35,N,N,N,N
State,42,Pennsylvania,Acetylcysteine,Acetylcysteine,269,1430,1433.7,137834.11,386,"",1117,1120.7,104903.93,"",325,275.24,6383.94,N,N,N,N
State,42,Pennsylvania,Aciphex,"Rabeprazole Sodium",284,1325,2221.6,1472275.53,255,"",1024,1765.7,1122387.04,"",206,2502.02,68026.87,N,N,N,N
State,42,Pennsylvania,Acitretin,Acitretin,290,1751,2015.1,1327754.82,389,"",1395,1637,1043859.63,"",317,732.98,109203.69,N,N,N,N
State,42,Pennsylvania,Actemra,Tocilizumab,124,1114,1182.4,3500876.31,193,"",682,728.8,2153763.3,"",121,1915.31,97092.5,N,N,N,N
State,42,Pennsylvania,Acthib,"Haemoph B Poly Conj-Tet Tox/Pf",14,17,17,499.91,15,#,"","","",#,"",8.25,308.62,N,N,N,N
State,42,Pennsylvania,Actigall,Ursodiol,15,79,91,51966.93,14,#,"","","",#,"",56.25,2590.59,N,N,N,N
State,42,Pennsylvania,Actimmune,"Interferon Gamma-1b,recomb.",11,131,134.6,6379708.96,16,"",98,101.6,4749151.26,#,"",19.35,69287.83,N,N,N,N
State,42,Pennsylvania,Actiq,"Fentanyl Citrate",1,12,12,184021.69,"","",0,0,0,#,"",3.7,0,Y,N,N,N
State,42,Pennsylvania,Activella,"Estradiol/Norethindrone Acet",6,29,47.4,10052.71,"","",29,47.4,10052.71,*,"",44.4,2127.69,N,N,N,N
State,42,Pennsylvania,Actonel,"Risedronate Sodium",93,340,638,193286.26,86,"",328,616.8,187220.14,#,"",473.98,24473.43,N,N,N,N
State,42,Pennsylvania,"Actoplus Met","Pioglitazone Hcl/Metformin Hcl",5,14,28,12635.77,"","",14,28,12635.77,*,"",48.65,198.45,N,N,N,N
State,42,Pennsylvania,"Actoplus Met Xr","Pioglitazone Hcl/Metformin Hcl",24,98,205.3,99223.49,25,#,"","","",#,"",131.85,9282.34,N,N,N,N
State,42,Pennsylvania,Actos,"Pioglitazone Hcl",50,238,361.1,206168.84,48,"",217,332.1,185465.44,#,"",148.2,17563.4,N,N,N,N
State,42,Pennsylvania,Acular,"Ketorolac Tromethamine",16,21,24.3,3879.91,19,#,"","","",#,"",26.75,884.49,N,N,N,N
State,42,Pennsylvania,"Acular Ls","Ketorolac Tromethamine",8,12,12,2471.35,"","",12,12,2471.35,*,"",15.65,645.45,N,N,N,N
State,42,Pennsylvania,Acuvail,"Ketorolac Tromethamine/Pf",16,36,52.7,19503.37,18,"",36,52.7,19503.37,"",18,28.45,1915.44,N,N,N,N
State,42,Pennsylvania,Acyclovir,Acyclovir,9586,50341,65974.8,2031349.96,18263,"",38529,51770.4,1578449.89,"",14389,16873.06,333091.81,N,N,N,N
State,42,Pennsylvania,"Acyclovir Sodium","Acyclovir Sodium",6,20,20,3655.78,"",*,"","","",*,"",0,974.34,N,N,N,N
State,42,Pennsylvania,Aczone,Dapsone,92,182,232,115684.05,111,"",95,120,56628.14,"",70,241.2,9734.82,N,N,N,N
State,42,Pennsylvania,"Adacel Tdap","Diph,pertuss(Acell),tet Vac/Pf",1316,5376,5403.3,340167.42,5356,"",4304,4322,275388.3,"",4288,6250.85,143360.58,N,N,N,N
State,42,Pennsylvania,"Adalat Cc",Nifedipine,11,30,38.7,2746.67,"","",30,38.7,2746.67,*,"",69.23,857.59,N,N,N,N
State,42,Pennsylvania,Adapalene,Adapalene,236,614,656.3,92512.53,285,"",223,244.8,34099.71,"",133,309.19,6647.31,N,N,N,N
State,42,Pennsylvania,"Adapalene-Benzoyl Peroxide","Adapalene/Benzoyl Peroxide",10,12,19,4921.72,"",*,"","","",*,"",5.7,200.69,N,N,N,N
State,42,Pennsylvania,Adcirca,Tadalafil,180,3701,4014,13616122.46,468,"",2632,2872.6,9569661.05,"",332,17856.07,676638.64,N,N,N,N
State,42,Pennsylvania,Adderall,Dextroamphetamine/Amphetamine,78,332,358,128116.9,60,"",103,125,42239.01,"",20,328.34,9596.44,N,N,N,N
State,42,Pennsylvania,"Adderall Xr",Dextroamphetamine/Amphetamine,282,1287,1316,377815.33,284,"",280,300,79126.69,"",64,4063.34,17585.68,N,N,N,N
State,42,Pennsylvania,"Adefovir Dipivoxil","Adefovir Dipivoxil",59,387,464.4,361113.43,49,"",267,335.4,259482.68,"",34,150.3,28293.16,N,N,N,N
State,42,Pennsylvania,Adempas,Riociguat,49,1365,1373,12367487.92,166,"",1005,1007,9066059.16,"",126,9701.69,341674.57,N,N,N,N
State,42,Pennsylvania,Adrenalin,Epinephrine,10,15,15,274.23,15,#,"","","",#,"",8.6,65.04,N,N,N,N
State,42,Pennsylvania,"Advair Diskus",Fluticasone/Salmeterol,14116,304610,385269.5,142871790.13,67431,"",238392,308566.9,113249965.82,"",53228,643969.77,11242698.06,N,N,N,N
State,42,Pennsylvania,"Advair Hfa",Fluticasone/Salmeterol,3947,25526,31529.3,12221844.86,6447,"",19129,24211.1,9278840,"",4895,52507.91,926919.35,N,N,N,N
State,42,Pennsylvania,"Advocate Pen Needle","Pen Needle, Diabetic",10,16,28,817.06,11,*,"","","",*,"",40.01,158.99,N,N,N,N
State,42,Pennsylvania,"Advocate Pen Needles","Pen Needle, Diabetic",297,1208,1822.9,68137.2,371,"",739,1142.5,41782.05,"",238,1413.34,4136.02,N,N,N,N
State,42,Pennsylvania,"Advocate Syringes","Syringe And Needle,insulin,1ml",35,108,139.5,6178.6,36,"",78,103.6,4427.44,#,"",62.66,168.23,N,N,N,N
State,42,Pennsylvania,"Advocate Syringes","Syringe-Needle,insulin,0.5 Ml",33,88,124.1,4433.82,36,"",67,99.1,3089.24,#,"",96.83,423.43,N,N,N,N
State,42,Pennsylvania,"Adzenys Xr-Odt",Amphetamine,8,40,40,11988.4,"",*,"","","",*,"",97.05,391.03,N,N,N,N
State,42,Pennsylvania,Aerospan,Flunisolide,28,107,166.9,30725.41,35,#,"","","",#,"",119.2,5421.65,N,N,N,N
State,42,Pennsylvania,"Afeditab Cr",Nifedipine,323,1151,1592.4,27502.89,344,"",974,1395.3,23593.34,"",291,680.6,8774.61,N,N,N,N
State,42,Pennsylvania,Afinitor,Everolimus,216,1360,1381.5,18465198.91,271,"",966,987.5,13015743.94,"",205,1406.91,573256,N,N,N,N
State,42,Pennsylvania,Afrezza,"Insulin Regular, Human",22,80,109.5,58927.06,26,"",54,76.5,38864.67,#,"",52.35,4459.66,N,N,N,N
State,42,Pennsylvania,Aggrenox,Aspirin/Dipyridamole,1070,5728,7189.1,3192144.87,1150,"",5182,6541,2879969.79,"",1051,7678.41,151736.5,N,N,N,N
State,42,Pennsylvania,Agrylin,"Anagrelide Hcl",2,14,20,13002.39,"","",14,20,13002.39,*,"",0,489.58,N,N,N,N
State,42,Pennsylvania,Ak-Poly-Bac,"Bacitracin/Polymyxin B Sulfate",49,58,58,904.64,55,"",47,47,749.6,"",44,16.18,282.15,N,N,N,N
State,42,Pennsylvania,Akynzeo,"Netupitant/Palonosetron Hcl",8,33,33.8,29393.78,"","",17,17.8,18253.29,*,"",17.1,1173.64,N,N,N,N
State,42,Pennsylvania,Ala-Scalp,Hydrocortisone,6,12,12,4794.24,"","",12,12,4794.24,*,"",1.2,233.29,N,N,N,N
State,42,Pennsylvania,Albenza,Albendazole,157,207,207,168705.83,163,"",109,109,102281.74,"",94,364.5,8749.63,N,N,N,N
State,42,Pennsylvania,"Albumin (Human)","Albumin Human",1,27,27,9174.93,"","",0,0,0,#,"",0,0,N,N,N,N
State,42,Pennsylvania,"Albuterol Sulfate","Albuterol Sulfate",3937,44675,45493.1,1082984.05,14425,"",36653,37324.1,852686.59,"",12492,10447.62,94450.75,N,N,N,N
State,42,Pennsylvania,"Alclometasone Dipropionate","Alclometasone Dipropionate",499,2123,2198,123104.32,1418,"",1878,1942.2,106010.99,"",1292,974.13,33326.04,N,N,N,N
State,42,Pennsylvania,"Alcohol Pads","Alcohol Antiseptic Pads",2201,16816,23639.1,875886.14,4133,"",11372,16533.5,594734.45,"",2820,23503.37,37355.81,N,N,N,N
State,42,Pennsylvania,"Alcohol Prep Pads","Alcohol Antiseptic Pads",4402,38606,63933.8,2093133.52,11036,"",24195,40120.1,1279665.94,"",6970,59164.01,91181.71,N,N,N,N
State,42,Pennsylvania,"Alcohol Swab","Alcohol Antiseptic Pads",462,1665,2336,6338.31,631,"",1056,1512.1,4108.85,"",412,877.8,171.52,N,N,N,N
State,42,Pennsylvania,"Alcohol Swabs","Alcohol Antiseptic Pads",1192,4471,6501,13363.69,1859,"",2728,4144.2,7893.97,"",1176,3078.18,1293.56,N,N,N,N
State,42,Pennsylvania,"Alcohol Wipes","Alcohol Antiseptic Pads",32,108,141,508.77,36,"",55,79.5,246.62,"",21,43.94,40.37,N,N,N,N
State,42,Pennsylvania,Aldactazide,Spironolact/Hydrochlorothiazid,35,138,267.9,30344.36,34,#,"","","",#,"",20.05,6368.02,N,N,N,N
State,42,Pennsylvania,Aldactone,Spironolactone,50,133,259,31096.38,43,"",112,224,26908.41,#,"",71.85,3604.62,N,N,N,N
State,42,Pennsylvania,Alecensa,"Alectinib Hcl",44,237,239.7,3180262.29,48,"",192,194.7,2573479.77,#,"",27.6,136155.64,N,N,N,N
State,42,Pennsylvania,"Alendronate Sodium","Alendronate Sodium",11838,319274,506834.2,2568659.53,64304,"",291292,469902.6,2334250.74,"",59512,104593.55,1132504.35,N,N,N,N
State,42,Pennsylvania,"Alfuzosin Hcl Er","Alfuzosin Hcl",2790,34979,65392.2,769707.73,7910,"",32208,61476.6,721584.15,"",7373,8427.15,393585.56,N,N,N,N
State,42,Pennsylvania,Alinia,Nitazoxanide,66,118,118,206775.64,83,"",75,75,127823.76,"",52,86.18,13612.58,N,N,N,N
State,42,Pennsylvania,Allopurinol,Allopurinol,14451,437678,786948.5,6717213.07,85262,"",391758,718926.5,6084317.08,"",77283,145588.7,2544691.75,N,N,N,N
State,42,Pennsylvania,Allzital,Butalbital/Acetaminophen,15,80,82,93527.1,36,*,"","","",*,"",41.66,1575.6,N,N,N,N
State,42,Pennsylvania,"Almotriptan Malate","Almotriptan Malate",83,368,395.6,102846.06,78,"",181,200.6,47365.11,"",47,256.8,11815.04,N,N,N,N
State,42,Pennsylvania,Alocril,"Nedocromil Sodium",38,100,126.6,26575.23,41,"",78,101,22288.17,#,"",159.05,5064.04,N,N,N,N
State,42,Pennsylvania,Alogliptin,"Alogliptin Benzoate",158,758,1146.1,191549.54,184,"",703,1062,176923.08,"",166,465.8,28033.97,N,N,N,N
State,42,Pennsylvania,Alogliptin-Metformin,"Alogliptin Benz/Metformin Hcl",26,109,166,23544.87,25,"",97,154,21546.87,#,"",60,3505.31,N,N,N,N
State,42,Pennsylvania,Alogliptin-Pioglitazone,"Alogliptin Benz/Pioglitazone",25,126,166,29499.21,23,"",88,124,22065.49,#,"",26.8,4638.97,N,N,N,N
State,42,Pennsylvania,Alomide,"Lodoxamide Tromethamine",32,126,168,27909.8,40,"",97,131,22118.65,#,"",624.68,2864.05,N,N,N,N
State,42,Pennsylvania,Alora,Estradiol,23,69,97.1,10259.54,19,"",39,65.1,6784.6,#,"",216.2,1543.43,N,N,N,N
State,42,Pennsylvania,"Alosetron Hcl","Alosetron Hcl",102,470,516.5,723307.23,115,"",338,382.5,503243.15,"",79,159.1,29713.13,N,N,N,N
State,42,Pennsylvania,Aloxi,"Palonosetron Hcl",9,122,122,98447.03,33,"",94,94,73000.91,#,"",77.75,5413.25,N,N,N,N
State,42,Pennsylvania,"Alphagan P","Brimonidine Tartrate",2461,52013,73642.8,11639534.63,11639,"",48779,69339.1,10960575.84,"",10909,66584.85,1960279.01,N,N,N,N
State,42,Pennsylvania,Alprazolam,Alprazolam,16816,645330,725631.5,4954725.55,120952,"",439351,510380.9,3401387.48,"",92170,310664.41,2073427.88,N,N,N,N
State,42,Pennsylvania,"Alprazolam Er",Alprazolam,418,2281,2779.2,70885.61,442,"",1251,1668.9,35965.79,"",279,1445.2,19990.36,N,N,N,N
State,42,Pennsylvania,"Alprazolam Intensol",Alprazolam,18,33,34.4,3382.71,19,#,"","","",#,"",4.5,380,N,N,N,N
State,42,Pennsylvania,"Alprazolam Odt",Alprazolam,150,388,437.8,44220.13,139,"",231,274.8,23210.36,"",102,307.25,5583.59,N,N,N,N
State,42,Pennsylvania,"Alprazolam Xr",Alprazolam,260,1150,1313.9,38539.21,259,"",643,786.9,17557.69,"",161,898.62,9118.5,N,N,N,N
State,42,Pennsylvania,Alrex,"Loteprednol Etabonate",612,2632,3194.4,640354.84,1157,"",2378,2910,583700.87,"",1048,2953.67,86189.44,N,N,N,N
State,42,Pennsylvania,Altace,Ramipril,231,975,2250.7,474815.29,221,"",953,2210.7,464273.25,#,"",132.31,32949.78,N,N,N,N
State,42,Pennsylvania,Altavera,"Levonorgestrel-Ethin Estradiol",48,173,240.7,3316.16,43,"",0,0,0,"",0,192,84.21,N,N,N,N
State,42,Pennsylvania,Altoprev,Lovastatin,25,80,155,104765.36,24,"",67,140,93263.02,#,"",112.8,3153.79,N,N,N,N
State,42,Pennsylvania,Alunbrig,Brigatinib,4,15,15,212381.77,"",*,"","","",*,"",8.25,1423.58,N,N,N,N
State,42,Pennsylvania,Alvesco,Ciclesonide,144,725,1048.5,293586.21,173,"",642,934,258964.21,"",146,693,56555.14,N,N,N,N
State,42,Pennsylvania,Alyacen,"Norethindrone-Ethinyl Estrad",79,318,392.3,6826.74,74,*,"","","",*,"",363.92,450.49,N,N,N,N
State,42,Pennsylvania,Amabelz,"Estradiol/Norethindrone Acet",60,156,398.2,34811.55,56,"",137,364.8,32595,#,"",3.6,6711.65,N,N,N,N
State,42,Pennsylvania,Amantadine,"Amantadine Hcl",2863,35041,44362.6,2944248.72,6066,"",23852,30955.2,2014756.65,"",4254,21278.47,443445.74,N,N,N,N
State,42,Pennsylvania,Amaryl,Glimepiride,61,282,460,65775.06,53,#,"","","",#,"",257.81,7091.84,N,N,N,N
State,42,Pennsylvania,Ambien,"Zolpidem Tartrate",207,1056,1246.1,620578.75,175,"",827,993.4,489957.86,"",137,1348.25,50785.62,N,N,N,N
State,42,Pennsylvania,"Ambien Cr","Zolpidem Tartrate",106,504,674,318690.99,88,"",307,427,209327.7,"",53,2304.2,16978.96,N,N,N,N
State,42,Pennsylvania,Ambisome,"Amphotericin B Liposome",8,35,35.4,68789.77,"",*,"","","",*,"",7,4782.46,N,N,N,N
State,42,Pennsylvania,Amcinonide,Amcinonide,72,130,150,43429.85,76,"",116,132,31303.15,"",63,865.18,2867.9,N,N,N,N
State,42,Pennsylvania,Amethia,L-Norgest/E.Estradiol-E.Estrad,18,34,103.9,4839.64,18,"",0,0,0,"",0,25.8,0,N,N,N,N
State,42,Pennsylvania,"Amethia Lo",L-Norgest/E.Estradiol-E.Estrad,8,16,48.5,2524.38,"","",0,0,0,#,"",4.5,156,N,N,N,N
State,42,Pennsylvania,Amethyst,"Levonorgestrel-Ethin Estradiol",11,43,50.2,2292.12,"","",0,0,0,#,"",7.2,54,N,N,N,N
State,42,Pennsylvania,Amicar,"Aminocaproic Acid",67,129,140,364277.46,70,"",78,89,230721.04,"",44,53.19,23430.7,N,N,N,N
State,42,Pennsylvania,"Amikacin Sulfate","Amikacin Sulfate",117,554,557,63160.05,181,"",420,423,45636.62,"",133,220.09,10477.7,N,N,Y,N
State,42,Pennsylvania,"Amiloride Hcl","Amiloride Hcl",1158,6390,11055.5,282693.23,1341,"",4708,8693.8,211972.82,"",1051,2785.43,83103.52,N,N,N,N
State,42,Pennsylvania,Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,1043,5550,11537.2,134960.99,1196,"",5243,11063.7,128311.17,"",1141,1649.44,63052.17,N,N,N,N
State,42,Pennsylvania,"Amiodarone Hcl","Amiodarone Hcl",10587,139440,213252.5,3222687.81,32058,"",130487,200776.2,3048522,"",29965,50166.26,983455.71,N,N,N,N
State,42,Pennsylvania,Amitiza,Lubiprostone,3769,36436,42221.8,12273614.23,7370,"",23178,27361.2,7551691.38,"",4738,58685.82,600705.09,N,N,N,N
State,42,Pennsylvania,"Amitriptyline Hcl","Amitriptyline Hcl",12130,170837,249089.9,3687280.55,32349,"",93840,152892.7,2013701.55,"",18467,124988.27,1072262.66,N,N,N,N
State,42,Pennsylvania,"Amlodipine Besylate","Amlodipine Besylate",24165,2011863,3523291.5,12843208.81,384444,"",1769141,3172181.3,11566271.51,"",340661,602146.55,5988257.09,N,N,N,N
State,42,Pennsylvania,"Amlodipine Besylate-Benazepril","Amlodipine Besylate/Benazepril",7575,129825,246636.3,4570575.08,24659,"",119023,230239.3,4290880.01,"",22786,50729.26,1441870.1,N,N,N,N
State,42,Pennsylvania,Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,1491,8048,16430.4,2139451.18,1731,"",7818,15988.4,2084941.81,"",1679,3060.01,214251.18,N,N,N,N
State,42,Pennsylvania,Amlodipine-Olmesartan,"Amlodipine Bes/Olmesartan Med",1433,9560,17053.1,1657585.26,1905,"",9000,16080.8,1573958.48,"",1773,5416.87,261829.26,N,N,N,N
State,42,Pennsylvania,Amlodipine-Valsartan,"Amlodipine Besylate/Valsartan",2605,21542,39679.3,1385809.69,4146,"",20092,37408.5,1315205.02,"",3870,10652.2,266053.55,N,N,N,N
State,42,Pennsylvania,Amlodipine-Valsartan-Hctz,Amlodipine/Valsartan/Hcthiazid,904,5445,10297.2,948628.65,1142,"",4719,9288.1,858815.11,"",1004,3524.29,78019.14,N,N,N,N
State,42,Pennsylvania,"Ammonium Lactate","Ammonium Lactate",5031,36673,38772.7,839911.51,16353,"",26041,27706.4,593014.01,"",12093,20168.04,130584.34,N,N,N,N
State,42,Pennsylvania,Amoxapine,Amoxapine,110,607,793.5,37576.99,100,"",414,581.9,26393.1,"",72,343.74,8813.37,N,N,N,N
State,42,Pennsylvania,Amoxicillin,Amoxicillin,28254,385373,388371.6,1704599.18,262603,"",324348,327061.8,1425398.04,"",220526,92790.84,1008748.72,N,N,Y,N
State,42,Pennsylvania,"Amoxicillin-Clavulanate Pot Er","Amoxicillin/Potassium Clav",349,437,437,58606.39,376,"",345,345,45597.95,"",295,335.04,10401.18,N,N,Y,N
State,42,Pennsylvania,"Amoxicillin-Clavulanate Potass","Amoxicillin/Potassium Clav",27215,216348,217131.7,3099776.87,169367,"",169704,170332.2,2450177.2,"",134366,93629.79,1395920.81,N,N,Y,N
State,42,Pennsylvania,"Amphotericin B","Amphotericin B",14,36,38,17491.79,13,"",16,16,8745.53,*,"",6,4148.4,N,N,N,N
State,42,Pennsylvania,"Ampicillin Sodium","Ampicillin Sodium",202,1172,1172,215266.15,233,"",946,946,167617.46,"",186,1645.77,37558.5,N,N,Y,N
State,42,Pennsylvania,"Ampicillin Trihydrate","Ampicillin Trihydrate",2738,7112,7381.9,51674.71,5143,"",6258,6521.9,45047.09,"",4550,1715.45,24256.1,N,N,Y,N
State,42,Pennsylvania,Ampicillin-Sulbactam,"Ampicillin Sodium/Sulbactam Na",271,1780,1780.2,218313.79,338,"",1064,1064,125566.3,"",234,976.71,35111.2,N,N,Y,N
State,42,Pennsylvania,Ampyra,Dalfampridine,273,6101,6748.7,15098428.55,847,"",1719,1966.7,4388698.58,"",249,10365.3,415819.13,N,N,N,N
State,42,Pennsylvania,Amrix,"Cyclobenzaprine Hcl",57,244,279,285177.97,61,"",53,81,74763.46,"",16,283.11,4777.98,N,N,N,N
State,42,Pennsylvania,Anafranil,"Clomipramine Hcl",6,41,59,161258.47,"",*,"","","",*,"",12.32,2498.5,N,N,N,N
State,42,Pennsylvania,"Anagrelide Hcl","Anagrelide Hcl",297,1945,2779.4,487589.14,336,"",1797,2575,457282.03,"",310,819.23,57378.13,N,N,N,N
State,42,Pennsylvania,"Analpram Hc",Hydrocortisone/Pramoxine,25,37,56.3,10748.61,26,#,"","","",#,"",1.2,2253.89,N,N,N,N
State,42,Pennsylvania,Anastrozole,Anastrozole,3574,83048,153029.8,1742548.08,17086,"",77057,143664.6,1631627.81,"",15939,32705.54,789609.34,N,N,N,N
State,42,Pennsylvania,Androderm,Testosterone,373,1655,2128.3,968704.41,376,"",896,1215.8,541653.58,"",222,2711.83,74077.81,N,N,N,N
State,42,Pennsylvania,Androgel,Testosterone,1784,12317,15447.3,10024104.45,2897,"",8428,11037.6,6961760.26,"",2075,17559.65,938223.03,N,N,N,N
State,42,Pennsylvania,Angeliq,Drospirenone/Estradiol,8,26,47.6,7528.3,"",#,"","","",*,"",7.4,2719.84,N,N,N,N
State,42,Pennsylvania,"Anoro Ellipta","Umeclidinium Brm/Vilanterol Tr",4318,51649,60787.5,21330928.57,12939,"",43069,51378.3,17994318.08,"",10763,100756.68,1925307.56,N,N,N,N
State,42,Pennsylvania,Antara,"Fenofibrate,micronized",15,52,96.1,44483.29,14,"",41,71.1,33334.76,#,"",85.65,1171.26,N,N,N,N
State,42,Pennsylvania,Anusol-Hc,Hydrocortisone,37,79,79,9626.8,48,#,"","","",#,"",24.3,410.25,N,N,N,N
State,42,Pennsylvania,"Apexicon E","Diflorasone Diacetate/Emoll",27,55,58,50000.52,24,"",55,58,50000.52,"",24,16.5,1542.12,N,N,N,N
State,42,Pennsylvania,Apidra,"Insulin Glulisine",257,1144,1636.6,890916.08,273,"",808,1241.6,631580.44,"",201,1826.36,71954.81,N,N,N,N
State,42,Pennsylvania,"Apidra Solostar","Insulin Glulisine",744,3306,5083.8,2400238.04,883,"",2336,3756.1,1715785.38,"",631,6212.81,184077.07,N,N,N,N
State,42,Pennsylvania,Aplenzin,"Bupropion Hbr",8,37,39,90711.16,"","",18,20,38991.41,*,"",22.9,2938.72,N,N,N,N
State,42,Pennsylvania,Apokyn,"Apomorphine Hcl",31,237,241,5220755.15,70,"",185,189,3907794.67,"",57,4170.26,268782.04,N,N,N,N
State,42,Pennsylvania,"Apraclonidine Hcl","Apraclonidine Hcl",59,237,312.7,20133.23,80,"",219,288.7,18400.6,#,"",195.5,5330.76,N,N,N,N
State,42,Pennsylvania,Aprepitant,Aprepitant,41,153,154.7,107641.39,71,"",81,82.5,48664.42,"",46,78.12,6412.89,N,N,N,N
State,42,Pennsylvania,Apri,"Desogestrel-Ethinyl Estradiol",125,658,874.3,13528.28,109,"",0,0,0,"",0,598.18,245.86,N,N,N,N
State,42,Pennsylvania,Apriso,Mesalamine,941,8883,12003.2,4822552.98,1664,"",7424,10255.2,4053022.53,"",1388,12454.54,566823.29,N,N,N,N
State,42,Pennsylvania,"Aptensio Xr","Methylphenidate Hcl",2,12,12,2557.32,"",*,"","","",*,"",29.6,0,N,N,N,N
State,42,Pennsylvania,Aptiom,"Eslicarbazepine Acetate",130,1620,1830.7,2003096.35,221,"",370,464,431287.26,"",55,1386.24,36073.54,N,N,N,N
