Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Covered_Recipient_NPI,Total_Opioid_Payments
"Collegium Pharmaceutical, Inc.",1336124916.0,15.12
"Collegium Pharmaceutical, Inc.",1336149186.0,14.56
"Collegium Pharmaceutical, Inc.",1336159508.0,132.46
"Collegium Pharmaceutical, Inc.",1346266889.0,12.73
"Collegium Pharmaceutical, Inc.",1346283637.0,172.29
"Collegium Pharmaceutical, Inc.",1346546090.0,18.15
"Collegium Pharmaceutical, Inc.",1356375711.0,175.22
"Collegium Pharmaceutical, Inc.",1356383442.0,34.74
"Collegium Pharmaceutical, Inc.",1366402208.0,53.84
"Collegium Pharmaceutical, Inc.",1366448391.0,71.66
"Collegium Pharmaceutical, Inc.",1366494296.0,46719.12
"Collegium Pharmaceutical, Inc.",1366555104.0,29.0
"Collegium Pharmaceutical, Inc.",1366563744.0,1432.78
"Collegium Pharmaceutical, Inc.",1366795080.0,234.61
"Collegium Pharmaceutical, Inc.",1376517458.0,83.48
"Collegium Pharmaceutical, Inc.",1376545947.0,19.74
"Collegium Pharmaceutical, Inc.",1376704577.0,15.25
"Collegium Pharmaceutical, Inc.",1386671436.0,11.04
"Collegium Pharmaceutical, Inc.",1386792398.0,14.09
"Collegium Pharmaceutical, Inc.",1396701645.0,15.12
"Collegium Pharmaceutical, Inc.",1396780409.0,160.25
"Collegium Pharmaceutical, Inc.",1396968038.0,12.7
"Collegium Pharmaceutical, Inc.",1407267099.0,27.439999999999998
"Collegium Pharmaceutical, Inc.",1417128570.0,15.24
"Collegium Pharmaceutical, Inc.",1417909243.0,12.48
"Collegium Pharmaceutical, Inc.",1417915810.0,10.62
"Collegium Pharmaceutical, Inc.",1417994682.0,48.33
"Collegium Pharmaceutical, Inc.",1427011006.0,158.15
"Collegium Pharmaceutical, Inc.",1427021351.0,45.910000000000004
"Collegium Pharmaceutical, Inc.",1427024728.0,24.71
"Collegium Pharmaceutical, Inc.",1427040088.0,14.52
"Collegium Pharmaceutical, Inc.",1427056555.0,156.13
"Collegium Pharmaceutical, Inc.",1437124468.0,50.13
"Collegium Pharmaceutical, Inc.",1437151677.0,12.37
"Collegium Pharmaceutical, Inc.",1437310448.0,12.22
"Collegium Pharmaceutical, Inc.",1447243902.0,13.19
"Collegium Pharmaceutical, Inc.",1447419981.0,73.4
"Collegium Pharmaceutical, Inc.",1447454269.0,105.0
"Collegium Pharmaceutical, Inc.",1457369233.0,10.54
"Collegium Pharmaceutical, Inc.",1457470429.0,54.78
"Collegium Pharmaceutical, Inc.",1477531630.0,55.88
"Collegium Pharmaceutical, Inc.",1477541456.0,12.66
"Collegium Pharmaceutical, Inc.",1477628733.0,30.71
"Collegium Pharmaceutical, Inc.",1477715407.0,17.78
"Collegium Pharmaceutical, Inc.",1497738934.0,136.39000000000001
"Collegium Pharmaceutical, Inc.",1497754519.0,12.51
"Collegium Pharmaceutical, Inc.",1497803514.0,25.6
"Collegium Pharmaceutical, Inc.",1508184953.0,42.8
"Collegium Pharmaceutical, Inc.",1508854274.0,4371.36
"Collegium Pharmaceutical, Inc.",1508859091.0,27.08
"Collegium Pharmaceutical, Inc.",1518007020.0,38.239999999999995
"Collegium Pharmaceutical, Inc.",1518056472.0,39.05
"Collegium Pharmaceutical, Inc.",1518970516.0,23.65
"Collegium Pharmaceutical, Inc.",1528064318.0,39.32
"Collegium Pharmaceutical, Inc.",1528066180.0,76.28
"Collegium Pharmaceutical, Inc.",1528245941.0,10.42
"Collegium Pharmaceutical, Inc.",1528407392.0,280.36
"Collegium Pharmaceutical, Inc.",1538113360.0,112.03
"Collegium Pharmaceutical, Inc.",1538328869.0,20.3
"Collegium Pharmaceutical, Inc.",1548201700.0,12.42
"Collegium Pharmaceutical, Inc.",1548366321.0,6164.849999999999
"Collegium Pharmaceutical, Inc.",1548380124.0,68.31
"Collegium Pharmaceutical, Inc.",1548491459.0,4462.78
"Collegium Pharmaceutical, Inc.",1548548373.0,12.24
"Collegium Pharmaceutical, Inc.",1558306670.0,12.43
"Collegium Pharmaceutical, Inc.",1558324814.0,13.07
"Collegium Pharmaceutical, Inc.",1558342691.0,15.24
"Collegium Pharmaceutical, Inc.",1558361790.0,2400.96
"Collegium Pharmaceutical, Inc.",1568697258.0,28.22
"Collegium Pharmaceutical, Inc.",1578556536.0,61.91
"Collegium Pharmaceutical, Inc.",1578569455.0,10.63
"Collegium Pharmaceutical, Inc.",1578661070.0,17.3
"Collegium Pharmaceutical, Inc.",1578823605.0,17.34
"Collegium Pharmaceutical, Inc.",1588638894.0,147.27
"Collegium Pharmaceutical, Inc.",1588642292.0,20.96
"Collegium Pharmaceutical, Inc.",1588649701.0,705.51
"Collegium Pharmaceutical, Inc.",1588767180.0,48.31
"Collegium Pharmaceutical, Inc.",1588861710.0,283.69
"Collegium Pharmaceutical, Inc.",1598056293.0,17.03
"Collegium Pharmaceutical, Inc.",1598742512.0,10.6
"Collegium Pharmaceutical, Inc.",1598743064.0,13.78
"Collegium Pharmaceutical, Inc.",1598759847.0,19.14
"Collegium Pharmaceutical, Inc.",1598788689.0,96.86
"Collegium Pharmaceutical, Inc.",1598853301.0,28.8
"Collegium Pharmaceutical, Inc.",1619165867.0,17801.98
"Collegium Pharmaceutical, Inc.",1619961133.0,65.62
"Collegium Pharmaceutical, Inc.",1619973674.0,27.810000000000002
"Collegium Pharmaceutical, Inc.",1619975984.0,44.36
"Collegium Pharmaceutical, Inc.",1629019211.0,13.66
"Collegium Pharmaceutical, Inc.",1629049606.0,15.73
"Collegium Pharmaceutical, Inc.",1629052188.0,11.06
"Collegium Pharmaceutical, Inc.",1629066329.0,198.14000000000001
"Collegium Pharmaceutical, Inc.",1629073069.0,11.85
"Collegium Pharmaceutical, Inc.",1629082763.0,62.54
"Collegium Pharmaceutical, Inc.",1629103759.0,27.049999999999997
"Collegium Pharmaceutical, Inc.",1639148042.0,77.55
"Collegium Pharmaceutical, Inc.",1639195423.0,15.6
"Collegium Pharmaceutical, Inc.",1639394034.0,13.25
"Collegium Pharmaceutical, Inc.",1649224338.0,83.48
"Collegium Pharmaceutical, Inc.",1649256843.0,12.59
"Collegium Pharmaceutical, Inc.",1649429986.0,48.33
"Collegium Pharmaceutical, Inc.",1659384014.0,53.67
"Collegium Pharmaceutical, Inc.",1659412591.0,18.9
"Collegium Pharmaceutical, Inc.",1659633659.0,14.78
"Collegium Pharmaceutical, Inc.",1669457982.0,139.7
"Collegium Pharmaceutical, Inc.",1669460481.0,165.99
"Collegium Pharmaceutical, Inc.",1669481578.0,52.68
"Collegium Pharmaceutical, Inc.",1679537567.0,32.370000000000005
"Collegium Pharmaceutical, Inc.",1679540140.0,134.85999999999999
"Collegium Pharmaceutical, Inc.",1679558746.0,68.42
"Collegium Pharmaceutical, Inc.",1679789010.0,107.07000000000001
"Collegium Pharmaceutical, Inc.",1689635682.0,10.71
"Collegium Pharmaceutical, Inc.",1689691164.0,12.73
"Collegium Pharmaceutical, Inc.",1689793648.0,34.74
"Collegium Pharmaceutical, Inc.",1700045747.0,52.379999999999995
"Collegium Pharmaceutical, Inc.",1700913456.0,125.34
"Collegium Pharmaceutical, Inc.",1710036926.0,130.12
"Collegium Pharmaceutical, Inc.",1710243787.0,39.67
"Collegium Pharmaceutical, Inc.",1710919139.0,18.41
"Collegium Pharmaceutical, Inc.",1710938246.0,30.169999999999998
"Collegium Pharmaceutical, Inc.",1710986815.0,16.67
"Collegium Pharmaceutical, Inc.",1720375793.0,193.06
"Collegium Pharmaceutical, Inc.",1730103177.0,30.15
"Collegium Pharmaceutical, Inc.",1730147273.0,100.5
"Collegium Pharmaceutical, Inc.",1730167776.0,14.23
"Collegium Pharmaceutical, Inc.",1730339193.0,27.16
"Collegium Pharmaceutical, Inc.",1730344748.0,17.36
"Collegium Pharmaceutical, Inc.",1730477381.0,13.66
"Collegium Pharmaceutical, Inc.",1740275304.0,13.14
"Collegium Pharmaceutical, Inc.",1740287127.0,20.52
"Collegium Pharmaceutical, Inc.",1740475482.0,48.86
"Collegium Pharmaceutical, Inc.",1750320461.0,39.78
"Collegium Pharmaceutical, Inc.",1750351003.0,62.989999999999995
"Collegium Pharmaceutical, Inc.",1750408381.0,124.42
"Collegium Pharmaceutical, Inc.",1750695839.0,25.5
"Collegium Pharmaceutical, Inc.",1760433304.0,83.48
"Collegium Pharmaceutical, Inc.",1760478424.0,13.14
"Collegium Pharmaceutical, Inc.",1760478697.0,28.339999999999996
"Collegium Pharmaceutical, Inc.",1760531545.0,57.51
"Collegium Pharmaceutical, Inc.",1770558413.0,49.370000000000005
"Collegium Pharmaceutical, Inc.",1770563645.0,56.22
"Collegium Pharmaceutical, Inc.",1770966707.0,112.72
"Collegium Pharmaceutical, Inc.",1780645952.0,17.49
"Collegium Pharmaceutical, Inc.",1780738633.0,11.56
"Collegium Pharmaceutical, Inc.",1780767319.0,258.2
"Collegium Pharmaceutical, Inc.",1780787028.0,29.72
"Collegium Pharmaceutical, Inc.",1790782555.0,10.35
"Collegium Pharmaceutical, Inc.",1790913267.0,10.83
"Collegium Pharmaceutical, Inc.",1801024955.0,10.85
"Collegium Pharmaceutical, Inc.",1801810247.0,43.68000000000001
"Collegium Pharmaceutical, Inc.",1801824354.0,86.59
